event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE74310,2025-05-19,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - At Tuffah,31.5134,34.4751,1,Palestine News and Information Agency,National,"On 19 May 2025, Israeli forces opened fire in Gaza - At Tuffah (Gaza City, Gaza Strip), resulting in two injuries.",0,,1748304024
PSE74386,2025-05-19,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,1,Palestine News and Information Agency,National,"On 19 May 2025, Israeli forces opened fire in Al Koutybah and street 5 in Khan Yunis (Khan Yunis, Gaza Strip), killing 1 person.",1,,1748304024
PSE74388,2025-05-19,2025,1,Political violence,Battles,Armed clash,Military Forces of Israel (2022-),,External/Other forces,Al Nasser Salah al Deen Brigades,,Political militia,Political militia-External/Other forces,,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,1,Arutz Sheva; Liveuamap; Times of Israel,Local partner-New media,"On 19 May 2025, Israeli forces went undercover as women to a residential home in central Khan Yunis (Khan Yunis, Gaza Strip), and killed the leader of Al Nasser Salah al Deen Brigades and kidnapped his wife and children.",1,,1748304024
PSE74316,2025-05-17,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Quds News Network,National,"On 17 May 2025, Israeli forces snipped two people in street 8 in Gaza - Az Zaytun (Gaza City, Gaza Strip), killing 1 person and injuring another. This event occurred following the expiration of the first phase of the ceasefire.",1,,1748304024
PSE73994,2025-05-16,2025,1,Political violence,Violence against civilians,Abduction/forced disappearance,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Refugees/IDPs (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya,31.5541,34.5016,1,Palestine News and Information Agency,National,"On 16 May 2025, Israeli forces kidnapped people from a sheltering centre in Beit Lahiya (North Gaza, Gaza Strip). This event occurred following the expiration of the first phase of the ceasefire.",0,,1747779314
PSE73754,2025-05-13,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,2,Quds News Network,National,"On 13 May 2025, Israeli forces injured a Palestinian man with gunshots in east of Bani Suheila (Khan Yunis, Gaza Strip). This event occurred following the expiration of the first phase of the ceasefire.",0,,1747779314
PSE73489,2025-05-08,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Mawasi (Khan Yunis),31.3482,34.2547,1,Palestine News and Information Agency,National,"On 8 May 2025, Israeli forces opened fire in Al Qaddam in the vicinity of Al Sumoud Camp in Al Mawasi (Khan Yunis) in (Khan Yunis, Gaza Strip), resulting in one child being injured. This event occurred following the expiration of the first phase of the ceasefire.",0,,1747091562
PSE73306,2025-05-02,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,1,Quds News Network,National,"On 2 May 2025, Israeli forces injured a person in Al Qararah (Khan Yunis, Gaza Strip) with gunshots. This event occurred following the expiration of the first phase of the ceasefire.",0,,1746490634
PSE73056,2025-04-28,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah,31.4178,34.3503,2,Quds News Network,National,"On 28 April 2025, Israeli forces snipped a person east of Deir al Balah (Deir El Balah, Gaza Strip), resulting in the person being injured. This event occurred following the expiration of the first phase of the ceasefire.",0,,1746490634
PSE72993,2025-04-26,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - West,31.4525,34.3756,1,Quds News Network,National,"On 26 April 2025, Israeli forces opened fire near Tabet Al Nuwairi in An Nusayrat - West (Deir El Balah, Gaza Strip), resulting in one person being killed and others injured. Total fatalities coded as 1. This event occurred following the expiration of the first phase of the ceasefire.",1,,1746490634
PSE72900,2025-04-24,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,2,Quds News Network,National,"On 24 April 2025, Israeli forces opened fire west of Rafah, coded to Tal as Sultan (Rafah, Gaza Strip), resulting in one person being injured. This event occurred following the expiration of the first phase of the ceasefire.",0,,1745881597
PSE72577,2025-04-24,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Fukhari,31.2952,34.3332,1,Quds News Network,National,"On 24 April 2025, Israeli forces opened fire near eastern areas of Al Fukhari town (Khan Yunis, Gaza Strip), resulting in one person being killed. This event occurred following the expiration of the first phase of the ceasefire.",1,,1747690207
