event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE74167,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Journalists (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya,31.5272,34.4835,2,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 23 May 2025, Israeli warplanes targeted a group of people in Al Saftawi area west Jabalya (North Gaza, Gaza Strip) killing 3 people, including a journalist, and injuring others. This event occurred following the expiration of the first phase of the ceasefire.",3,,1748304023
PSE74182,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Government of Palestine (2007-) Hamas Government in Gaza,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Southern Remal,31.5168,34.4355,2,Quds News Network,National,"On 23 May 2025, Israeli warplanes targeted several times a building belonging to the Ministry of Interior in west of Gaza city, coded to Gaza - Southern Remal (Gaza City, Gaza Strip) injuring people. This event occurred following the expiration of the first phase of the ceasefire.",0,,1748304023
PSE74194,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Refugees/IDPs (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Palestine News and Information Agency; Quds News Network,National,"On 23 May 2025, Israeli warplanes targeted the roof of a house near Sawarha cemetery in An Nusayrat (Deir El Balah, Gaza Strip) killing one person and injuring many others. Israeli warplanes targeted a house in the same location killing one person; and targeted a group of people killing another person and injuring others. Israeli warplanes launched an airstrike near Ain al Jalout towers, casualties unknown. Fatalities coded as at least 3. This event occurred following the expiration of the first phase of the ceasefire.",3,,1748304023
PSE74204,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Refugees/IDPs (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Abasan al Jadidah,31.3416,34.3459,1,Quds News Network,National,"On 23 May 2025, Israeli warplanes targeted a house in Abasan al Jadidah (Khan Yunis, Gaza Strip) killing 11 people from the same family and injuring many others. Israeli warplanes targeted another house in the same location killing 2 people and injuring 1 other person; and an IDP tent near Abu Nuwaira school killing 1 person. Israeli artillery also targeted the town, casualties unknown. Fatalities coded as at least 14. This event occurred following the expiration of the first phase of the ceasefire.",14,,1748304023
PSE74213,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Refugees/IDPs (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,2,Palestine News and Information Agency; Quds News Network,National,"On 23 May 2025, Israeli helicopters fired live ammunition east of Al Qararah (Khan Yunis, Gaza Strip), casualties unknown. Israeli drones targeted an IDP tent in west of Al Qararah, killing a child and injuring 30 other people. Fatalities coded as at least 1. This event occurred following the expiration of the first phase of the ceasefire.",1,,1748304024
PSE74218,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Qizan an Najjar,31.323,34.2761,1,Quds News Network,National,"On 23 May 2025, Israeli warplanes targeted a house in Qizan an Najjar (Khan Yunis, Gaza Strip) killing 9 people and injuring others. Israeli artillery also heavily targeted the town, casualties unknown. Fatalities coded as at least 9. This event occurred following the expiration of the first phase of the ceasefire.",9,,1748304024
PSE74233,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Refugees/IDPs (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,1,Al Ghad (Jordan); Palestine News and Information Agency,National-Regional,"On 23 May 2025, Israeli forces, likely warplanes, targeted a house in the western camp in Khan Yunis, coded to Khan Yunis - West (Municipal Stadium) (Khan Yunis, Gaza Strip) killing two children and injuring their parents. Israeli warplanes launched an airstrike on another house in the city, killing 3 people and injuring others. Fatalities 5. This event occurred following the expiration of the first phase of the ceasefire.",5,,1748304024
PSE74238,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),,Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Musaddar,31.4105,34.378,2,Palestine News and Information Agency,National,"On 23 May 2025, an Israeli drone targeted a group of people west of Deir al Balah, coded to Al Musaddar (Deir El Balah, Gaza Strip) killing one child. This event occurred following the expiration of the first phase of the ceasefire.",1,,1748304024
PSE74255,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Health Workers (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya - Tel-Zaatar,31.5367,34.5035,1,Newpress; Quds News Network; Twitter,New media-National,"On 23 May 2025, Israeli quadcopter drones dropped bombs on the Al Awda hospital, injuring 3 health workers and Israeli forces detonated an explosive robot in the vicinity of Al Awda Hospital in Jabalya - Tel-Zaatar (North Gaza, Gaza Strip) causing material damage. Fires ignited in the hospital by the previous day's strikes remained uncontrolled. Israeli forces continued to encircle the hospital and fired gunshots at it and around it [casualties unknown]. This event occurred following the expiration of the first phase of the ceasefire.",0,,1748304024
PSE74266,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Quds News Network,National,"On 23 May 2025, Israeli artillery targeted several times Abu Al Ajeen area east of Deir al Balah governorate, coded to Al Burayj (Deir El Balah, Gaza Strip), casualties unknown. This event likely occurred at the buffer zone, and took place following the expiration of the first phase of the ceasefire.",0,,1748304024
PSE74267,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Quds News Network,National,"On 23 May 2025, Israeli warplanes targeted an area in Block 1 north of Al Burayj camp (Deir El Balah, Gaza Strip), casualties unknown. This event occurred following the expiration of the first phase of the ceasefire.",0,,1748304024
PSE74268,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Quds News Network,National,"On 23 May 2025, Israeli warplanes targeted Al Burayj camp (Deir El Balah, Gaza Strip), casualties unknown. This event occurred following the expiration of the first phase of the ceasefire.",0,,1748304024
PSE74287,2025-05-23,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,Civilians (Palestine),Aid Workers (Palestine); Health Workers (Palestine); Refugees/IDPs (Palestine),Civilians,External/Other forces-Civilians,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah,31.4178,34.3503,1,Dunia Al Watan; Palestine News and Information Agency; Quds News Network,National,"On 23 May 2025, Israeli warplanes targeted an IDP tent in Abu Salim area in Deir al Balah (Deir El Balah, Gaza Strip) killing 1 person and injuring two others. Israeli drones also repeatedly targeted the entrance of Deir al Balah town, killing 10 people and injuring others, among the targeted were aid workers and health workers. Total fatalities were 11. This event occurred following the expiration of the first phase of the ceasefire.",11,,1748304024
